"id";"day";"itinerary_name";"description";"reference_id";"tour_id";"created_at";"updated_at"
1;1;"Arrival and Orientation";"Arrival in Paris and evening city tour.";"445c54d1-fad2-8ceb-179e-8b7652ae83f0";1;"2025-01-30 09:05:53";"2025-01-30 09:05:53"
2;2;"Eiffel Tower and Seine Cruise";"Visit Eiffel Tower and enjoy a Seine River cruise.";"4f903b04-4a48-e839-f9cc-7a1f8249e501";1;"2025-01-30 09:05:53";"2025-01-30 09:05:53"
3;1;"Arrival and Shibuya Exploration";"Arrive in Tokyo, explore Shibuya Crossing and nearby attractions.";"953fac84-94ca-c233-1ea5-bac22655e3c9";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
4;2;"Tokyo Disneyland Adventure";"Spend the whole day at Tokyo Disneyland enjoying rides and attractions.";"da1ab4e5-43da-7b33-adb6-4e6943e6829c";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
5;3;"Cultural Tour of Asakusa";"Visit Senso-ji Temple and explore Nakamise Shopping Street.";"5b9cce1e-1284-72cc-de80-5cf2a8942455";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
6;4;"Mount Fuji Day Trip";"Take a scenic tour to Mount Fuji and Hakone with a hot spring visit.";"ae069a97-6368-512f-405d-dd498f79ea7a";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
7;5;"Shopping and Departure";"Shop in Ginza and Akihabara before heading to the airport.";"5fe56c1e-7add-81ff-cbff-f4426e7684eb";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
8;1;"Arrival in Kochi";"Explore Fort Kochi, Chinese Fishing Nets, and Kathakali dance performance.";"46ca6816-fea0-7a55-7117-a1b0417ef990";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
9;2;"Munnar Hills Tour";"Visit tea plantations, Mattupetty Dam, and Echo Point.";"cae23e01-a780-0f99-79fb-459ebf7160fc";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
10;3;"Alleppey Houseboat Stay";"Enjoy a luxurious houseboat cruise through the scenic backwaters.";"3420db34-49a7-ad4f-658b-7f4d59976e95";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
11;4;"Departure via Kovalam Beach";"Relax at Kovalam Beach before heading to the airport.";"80ff194c-737c-0a1e-6d61-bad30eff95b4";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
12;1;"Arrival in Leh";"Arrive in Leh, the capital of Ladakh. Explore Leh Palace, Shanti Stupa, and the local market.";"e3375469-101e-e7be-901e-d3815f024a16";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
13;2;"Monastery Tour";"Visit famous monasteries like Hemis, Thiksey, and Shey. Experience the Buddhist culture and traditions.";"10442212-6905-875f-8bc1-a6f20e07ed5e";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
14;3;"Trekking to Nubra Valley";"Embark on a trek to the Nubra Valley through high-altitude desert landscapes and picturesque valleys.";"4c938497-feb2-3cc7-6122-3eff9bd53b24";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
15;4;"Pangong Lake Excursion";"Visit Pangong Lake, famous for its stunning views and blue waters, featured in numerous Bollywood films.";"6b681fbb-d742-0ad6-c7f7-386463d759de";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
16;5;"Adventure Trek to Tso Moriri Lake";"Trek to Tso Moriri, a high-altitude lake surrounded by majestic mountains. Explore the nearby village of Korzok.";"5051fbca-9fc0-9c63-7e4b-a46b97dd61ec";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
17;6;"Leh Local Exploration";"Explore more of Leh's famous attractions including Magnetic Hill, Leh Palace, and the war memorial.";"093741c2-0569-da47-4302-e12a8b1d5364";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
18;7;"Departure from Leh";"Last day in Leh. Relax before departing for the airport, with scenic views of the Himalayas one last time.";"190d68ca-381e-949e-4a07-7edd5fcd1353";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
19;1;"Arrival in Srinagar";"Arrive in Srinagar, enjoy a Shikara ride on Dal Lake, and explore Mughal Gardens including Nishat Bagh and Shalimar Bagh.";"51d1084a-4949-ef87-621c-8de33a884a13";5;"2025-02-10 15:15:20";"2025-02-10 15:15:20"
20;2;"Sonamarg Valley Tour";"Drive to Sonamarg, also known as the 'Meadow of Gold'. Enjoy the views of Thajiwas Glacier and explore the beautiful valley.";"d1fa4de0-b9b3-0c92-ce3c-1eb76908b523";5;"2025-02-10 15:15:20";"2025-02-10 15:15:20"
21;3;"Gulmarg Adventure";"Visit Gulmarg, the 'Meadow of Flowers'. Take a ride on the Gondola to the top of Mount Apharwat and enjoy skiing or snowboarding (seasonal).";"8b1e4bac-579f-6f9e-8ac9-ea8c71288a27";5;"2025-02-10 15:15:20";"2025-02-10 15:15:20"
22;4;"Pahalgam Exploration";"Head to Pahalgam, visit Betaab Valley and Aru Valley. Enjoy an optional pony ride or a riverside walk along the Lidder River.";"a5cc8998-e40d-ff36-7331-f055cc83405d";5;"2025-02-10 15:15:20";"2025-02-10 15:15:20"
23;5;"Aharbal Waterfall and Shopian";"Visit the stunning Aharbal Waterfall and take a scenic drive to Shopian for a taste of Kashmirs unique culture and untouched beauty.";"a5ea8a9d-9837-0f69-e532-c821537ef861";5;"2025-02-10 15:15:20";"2025-02-10 15:15:20"
24;6;"Departure from Srinagar";"Last day in Srinagar. Visit the local market for shopping, and enjoy the morning views of the Himalayas before your departure.";"f4fbf6c0-1e54-b3fa-d25f-a0f12fed26c5";5;"2025-02-10 15:15:20";"2025-02-10 15:15:20"
